YM_ID|POLICE_AREA|GRP_DETAIL_CD|DRIVE_OVER|VIOLATION|SPEEDING|PEDESTRIAN|SAFEDRIVING|SAFETY|CROSSING|ETC|ETL_TYPE|ETL_DATE
201210|P06|9401|8|33|2|6|82|13|6|12|0601|2013-12-23 16:58:12
201210|P06|9403|15|52|5|5|118|25|10|18|0601|2013-12-23 16:58:12
201211|P02|9402|0|2|0|0|1|1|0|0|0601|2013-12-23 16:58:12
201211|P03|9401|1|11|0|4|63|7|5|5|0601|2013-12-23 16:58:12
201211|P03|9403|1|14|0|4|90|11|7|6|0601|2013-12-23 16:58:12
201211|P04|9402|0|0|0|0|5|0|0|0|0601|2013-12-23 16:58:12
201211|P05|9401|6|9|0|3|48|0|4|4|0601|2013-12-23 16:58:12
201211|P05|9403|10|17|0|3|55|0|5|4|0601|2013-12-23 16:58:12
201211|P06|9402|0|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201212|P02|9401|7|12|0|5|48|15|3|3|0601|2013-12-23 16:58:12
201212|P02|9403|17|22|0|7|80|23|6|4|0601|2013-12-23 16:58:12
201212|P03|9402|0|0|0|0|4|0|0|0|0601|2013-12-23 16:58:12
201212|P04|9401|1|12|0|2|48|3|1|5|0601|2013-12-23 16:58:12
201212|P04|9403|1|17|0|2|68|6|3|12|0601|2013-12-23 16:58:12
201212|P05|9402|0|1|0|0|0|0|0|0|0601|2013-12-23 16:58:12
201212|P06|9401|6|25|1|10|69|21|5|1|0601|2013-12-23 16:58:12
201212|P06|9403|18|41|3|10|110|38|8|1|0601|2013-12-23 16:58:12
201301|P02|9402|0|1|0|0|2|0|0|0|0601|2013-12-23 16:58:12
201301|P03|9401|7|7|0|2|35|6|2|4|0601|2013-12-23 16:58:12
201301|P03|9403|15|16|0|2|50|13|2|8|0601|2013-12-23 16:58:12
201301|P04|9402|0|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201301|P05|9401|3|10|0|0|40|0|2|6|0601|2013-12-23 16:58:12
201301|P05|9403|6|25|0|0|53|0|2|10|0601|2013-12-23 16:58:12
201301|P06|9402|0|1|1|0|4|0|0|0|0601|2013-12-23 16:58:12
201302|P02|9401|5|8|0|2|40|6|2|10|0601|2013-12-23 16:58:12
201302|P02|9403|15|13|0|2|46|14|2|13|0601|2013-12-23 16:58:12
201302|P03|9402|0|0|0|0|1|0|0|1|0601|2013-12-23 16:58:12
201302|P04|9401|3|7|0|0|27|3|1|4|0601|2013-12-23 16:58:12
201302|P04|9403|4|10|0|0|41|3|1|4|0601|2013-12-23 16:58:12
201302|P05|9402|0|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201302|P06|9401|6|21|0|6|63|4|8|8|0601|2013-12-23 16:58:12
201302|P06|9403|14|33|0|7|73|8|15|12|0601|2013-12-23 16:58:12
201303|P02|9402|0|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201303|P03|9401|3|17|0|5|78|5|7|10|0601|2013-12-23 16:58:12
201303|P03|9403|6|26|0|5|108|8|8|12|0601|2013-12-23 16:58:12
201303|P04|9402|0|0|0|0|0|0|0|0|0601|2013-12-23 16:58:12
201303|P05|9401|5|7|0|2|39|0|6|8|0601|2013-12-23 16:58:12
201303|P05|9403|6|12|0|2|59|0|9|10|0601|2013-12-23 16:58:12
201303|P06|9402|0|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201304|P02|9402|0|1|0|0|0|0|0|0|0601|2014-08-01 17:04:41
201304|P03|9401|5|12|0|6|64|8|5|5|0601|2014-08-01 17:04:41
201304|P03|9403|10|20|0|6|93|22|10|9|0601|2014-08-01 17:04:41
201304|P04|9402|0|0|0|0|0|0|0|0|0601|2014-08-01 17:04:41
201304|P05|9401|8|11|0|2|33|6|5|3|0601|2014-08-01 17:04:41
201304|P05|9403|23|17|0|2|42|10|6|3|0601|2014-08-01 17:04:41
201304|P06|9402|0|1|0|0|4|0|0|0|0601|2014-08-01 17:04:41
201305|P02|9401|6|19|0|5|65|16|2|6|0601|2014-08-01 17:04:41
201305|P02|9403|6|29|0|5|97|34|4|7|0601|2014-08-01 17:04:41
