sido_code,sigungu_code,emd_code,week_type,velocity_CG_AVRG
22000,22070,2207055,weekday,20.5
22000,22070,2207056,weekday,17.58
22000,22070,2207057,weekday,18.97
22000,22070,2207058,weekday,16.93
22000,22070,2207059,weekday,20.66
22000,22070,2207060,weekday,16.85
22000,22070,2207061,weekday,17.49
22000,22070,2207062,weekday,16.55
22000,22070,2207063,weekday,20.3
22000,22070,2207064,weekday,16.54
22000,22070,2207065,weekday,16.89
22000,22070,2207066,weekday,14.95
22000,22070,2207067,weekday,17.6
22000,22070,2207068,weekday,20
22000,22070,2207069,weekday,17.05
22000,22070,2207070,weekday,17.05
22000,22070,2207071,weekday,15.9
22000,22070,2207072,weekday,17.7
22000,22070,2207073,weekday,18.84
22000,22070,2207074,weekday,16.72
22000,22070,2207075,weekday,17.43
22000,22070,2207076,weekday,18.42
22000,22310,2231011,weekday,20.7
22000,22310,2231012,weekday,24.79
22000,22310,2231013,weekday,19.01
22000,22310,2231014,weekday,19.06
22000,22310,2231015,weekday,25.05
22000,22310,2231016,weekday,27
22000,22310,2231031,weekday,23.14
22000,22310,2231032,weekday,21.91
22000,22310,2231036,weekday,19.46
